id,address,bedrooms,full_bathrooms,half_bathrooms,type,size_sqft,lot_size,price
62,2374 Cardiff Ln Unit D Las Vegas NV 89108,2,1,0,Condo/Townhome/Row Home/Co-Op,920,3136,53000
63,4664 Laurentia Ave Las Vegas NV 89141,4,3,1,Single Family Home,4552,8276,574900
64,Las Vegas NV 89138,4,2,1,Single Family Home,2835,6098,465000
65,10108 Rising Tree St Las Vegas NV 89183,3,2,1,Condo/Townhome/Row Home/Co-Op,1510,2178,139000
66,11569 Whipkey St Las Vegas NV 89183,4,2,1,Single Family Home,2774,4791,325000
67,3726 Las Vegas Blvd S Unit 902 Las Vegas NV 89158,2,2,0,Condo/Townhome/Row Home/Co-Op,1402,,828888
68,9983 Diamond Summit Ct Unit: 102 Las Vegas NV 89183,3,2,1,Condo/Townhome/Row Home/Co-Op,1423,871,159950
69,Las Vegas NV 89178,5,1,1,Single Family Home,2658,23958,330000
70,3755 Kit Fox St Las Vegas NV 89122,4,2,1,Single Family Home,2069,4791,174900
71,9424 Medford Falls Ave Las Vegas NV 89149,3,2,0,Single Family Home,1101,3049,149999
72,4433 Gracemont Ave Las Vegas NV 89139,4,3,0,Single Family Home,2220,4791,248000
73,7332 Stoney Shore Dr Las Vegas NV 89128,3,2,1,Single Family Home,1481,3920,155100
74,2575 Paradise Village Way Las Vegas NV 89120,3,2,0,Condo/Townhome/Row Home/Co-Op,1430,1306,72888
75,9101 Alta Dr Unit: 1801 Las Vegas NV 89145,5,7,2,Condo/Townhome/Row Home/Co-Op,15691,,12900000
76,8933 Rudica Creek Ave Las Vegas NV 89149,4,3,0,Single Family Home,2056,6098,109999
77,Blue Heron Las Vegas NV 89115,2,3,0,Multi-Family Home; Ready to build,1251,87120,137888
78,9545 Los Cotos Ct Las Vegas NV 89147,5,4,0,Single Family Home,4194,11761.2,499900
79,9269 Moonlight Nest Ln Las Vegas NV 89178,3,2,1,Single Family Home,1768,2178,171000
80,1934 Villa De Sol St Las Vegas NV 89156,3,2,1,Single Family Home,1788,3484,139999
81,10379 Copalito Dr Las Vegas NV 89178,3,2,0,Single Family Home,1970,5662,285000
