id,address,bedrooms,full_bathrooms,half_bathrooms,type,size_sqft,lot_size,price
1351,3355 Turtle Vista Cir Las Vegas NV 89117,5,3,0,Single Family Home,3661,7840,320000
1352,221 Popolo Dr Las Vegas NV 89138,6,4,1,Single Family Home,3150,6098,535000
1353,2765 Auchmull St Henderson NV 89044,5,3,1,Single Family Home,2301,5662,330000
1354,2205 Menifee Ct Las Vegas NV 89134,3,3,0,Single Family Home,2760,10018.8,434900
1355,10065 Hemet Dr Las Vegas NV 89134,2,2,0,Condo/Townhome/Row Home/Co-Op,1007,2613,152500
1356,240 Mission Catalina Ln Unit: 206 Las Vegas NV 89107,1,1,0,Condo/Townhome/Row Home/Co-Op,660,,52500
1357,9209 Grand Gate St Las Vegas NV 89143,5,4,1,Single Family Home,4964,9583,500000
1358,3203 Mystic Ridge Ct Unit: 3203 Las Vegas NV 89129,2,2,1,Condo/Townhome/Row Home/Co-Op,1464,871,98000
1359,8248 Crown Peak Ave Las Vegas NV 89117,4,2,1,Single Family Home,2561,4791,299000
1360,717 Rock Springs Dr Apt 102 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,912,1001,58995
1361,35 Elkhart Ave Las Vegas NV 89183,3,2,1,Single Family Home,1483,3920,92900
1362,5500 Pepperpike Ave Las Vegas NV 89130,3,2,0,Single Family Home,1135,4356,115000
1363,1468 Santa Anita Dr Las Vegas NV 89119,5,3,1,Single Family Home,4472,25700.4,359000
1364,3497 Holly Ave North Las Vegas NV 89106,3,2,0,Single Family Home,2386,12632.4,135000
1365,3111 Bel Air Dr Unit 27 Las Vegas NV 89109,2,2,1,Condo/Townhome/Row Home/Co-Op,2208,,449888
1366,2110 N Los Feliz St Unit: 1092 North Las Vegas NV 89156,2,2,0,Condo/Townhome/Row Home/Co-Op,1146,2178,51500
1367,6887 Tamarus St Unit 102 Las Vegas NV 89119,2,2,0,Condo/Townhome/Row Home/Co-Op,1172,,87000
1368,3064 Casey Dr Unit 102 Las Vegas NV 89120,3,2,0,Condo/Townhome/Row Home/Co-Op,1190,1829,53242
1369,4582 Lime Straight Dr Las Vegas NV 89115,4,3,0,Condo/Townhome/Row Home/Co-Op,1645,3049,178888
1370,7235 Sawtooth Dr Las Vegas NV 89119,3,2,0,Single Family Home,1262,5662,159900
1371,3503 Mercury St Las Vegas NV 89030,4,2,0,Condo/Townhome/Row Home/Co-Op,1235,1306,85000
1372,5321 Big Fawn Ct Las Vegas NV 89130,4,2,1,Single Family Home,2300,4356,229990
1373,8628 Yamamoto St Las Vegas NV 89131,5,3,0,Single Family Home,2902,6969,225000
1374,5665 Bishop Flowers St Las Vegas NV 89130,3,2,1,Single Family Home,1600,2613,202288
1375,4683 Bersaglio St Las Vegas NV 89135,2,2,1,Single Family Home,2345,7405,549000
1376,5570 Petaca Rd Las Vegas NV 89122,2,2,0,Mfd/Mobile Home,1704,4791,65000
1377,9716 Polo Cir Las Vegas NV 89117,4,3,0,Single Family Home,2197,8276,349900
1378,7602 Vedena Pl Las Vegas NV 89113,5,3,1,Single Family Home,4898,20037.6,799000
1379,746 Oakmont Ave Unit 704 Las Vegas NV 89109,1,1,0,Condo/Townhome/Row Home/Co-Op,1099,,139900
1380,2915 Bel Air Dr Las Vegas NV 89109,2,2,0,Single Family Home,1215,4791,249900
1381,3135 S Mojave Rd Apt 255 Las Vegas NV 89121,1,1,0,Condo/Townhome/Row Home/Co-Op,607,,24800
1382,3615 Plan Las Vegas NV 89131,4,3,0,Single Family Home; Ready to build,3615,130680,439990
1383,2615 Heritage Dr Las Vegas NV 89121,4,2,0,Condo/Townhome/Row Home/Co-Op,1830,2613,130000
1384,917 Boulder Springs Dr Unit 102 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,912,,76900
1385,8096 Avalon Island St Las Vegas NV 89139,5,3,0,Single Family Home,3313,8276,336000
1386,1708 Adra Ct Las Vegas NV 89102,4,2,1,Single Family Home,3063,10018.8,515000
1387,9317 Tournament Canyon Dr Las Vegas NV 89144,5,6,2,Single Family Home,9376,19166.4,1800000
1388,6189 Glacier Ave Las Vegas NV 89156,3,2,0,Mfd/Mobile Home,2128,6098,59000
1389,2484 San Marcos St Las Vegas NV 89115,4,2,0,Single Family Home,1702,6098,123000
1390,Las Vegas NV 89178,4,3,0,Single Family Home,3231,4791,299900
1391,5631 Bishop Flowers St Las Vegas NV 89130,3,2,1,Single Family Home,1750,2613,225505
1392,2324 Spring Water Dr Las Vegas NV 89134,2,2,0,Condo/Townhome/Row Home/Co-Op,1799,3049,269500
1393,1505 Crystal Rainey Ave North Las Vegas NV 89086,5,4,1,Single Family Home,3804,6098,150000
1394,9470 Peace Way Unit 231 Las Vegas NV 89147,2,2,0,Condo/Townhome/Row Home/Co-Op,895,,60000
1395,2877 Paradise Rd Unit 2402 Las Vegas NV 89109,3,3,0,Condo/Townhome/Row Home/Co-Op,2805,,968000
1396,7866 Midnight Ride St Las Vegas NV 89131,5,3,0,Single Family Home,3754,7840,329000
1397,Las Vegas NV 89131,4,3,1,Single Family Home,2898,5227,329500
1398,117 S Royal Ascot Dr Las Vegas NV 89144,5,5,1,Single Family Home,5929,17424,1295000
1399,2725 S Nellis Blvd Unit 1099 Las Vegas NV 89121,2,2,0,Condo/Townhome/Row Home/Co-Op,1029,2178,48000
1400,8480 Cedar Mill Falls Ct Las Vegas NV 89143,5,4,0,Single Family Home,5055,21344.4,599900
1401,7712 Constanso Ave # 812 Las Vegas NV 89128,3,2,0,Condo/Townhome/Row Home/Co-Op,1344,3267,149900
1402,207 Greenbriar Townhouse Way Las Vegas NV 89121,1,1,1,Condo/Townhome/Row Home/Co-Op,1320,1742,69800
1403,931 Single Tree Dr Henderson NV 89123,4,2,1,Single Family Home,1847,3920,179900
1404,3500 Cactus Shadow St Unit 204 Las Vegas NV 89129,3,2,0,Condo/Townhome/Row Home/Co-Op,1223,,144000
1405,2017 White Falls St Las Vegas NV 89128,4,2,1,Single Family Home,2347,8276,300000
1406,4021 Buffalo Bill Ave Las Vegas NV 89110,3,2,0,Single Family Home,1702,3920,118000
1407,9096 Epworth Ave Las Vegas NV 89148,2,2,1,Single Family Home,1246,1742,131000
1408,3702 Royal Fern Cir Las Vegas NV 89115,4,2,0,Single Family Home,1346,6098,143900
1409,7361 Calzado Dr Las Vegas NV 89178,4,3,0,Single Family Home,2407,6534,309888
1410,6479 Carmel River Ave Las Vegas NV 89141,3,2,1,Single Family Home,1800,3049,242573
1411,4330 El Antonio Pl Las Vegas NV 89121,4,2,0,Single Family Home,1896,7405,120000
1412,3165 Alla Prima Ave Henderson NV 89044,4,4,1,Single Family Home,3671,4791,419000
1413,3111 Bel Air Dr Unit: 24E Las Vegas NV 89109,1,1,1,Condo/Townhome/Row Home/Co-Op,1534,,275000
1414,7016 Astronaut Ave Las Vegas NV 89145,4,2,0,Single Family Home,1519,7405,140000
1415,6529 Za Zu Pitts Ave Unit 102 Las Vegas NV 89122,3,2,1,Condo/Townhome/Row Home/Co-Op,1468,871,58900
1416,5076 Jeffreys St Unit 201 Las Vegas NV 89119,2,2,0,Condo/Townhome/Row Home/Co-Op,1000,,79000
1417,4025 Keasberry Ave Las Vegas NV 89081,4,3,1,Single Family Home,2864,6098,230000
1418,2521 Sierra Luna Ave Unit 106 Las Vegas NV 89106,3,2,1,Condo/Townhome/Row Home/Co-Op,1213,5662800,85000
1419,660 Peachy Canyon Cir Unit 202 Las Vegas NV 89144,2,2,0,Condo/Townhome/Row Home/Co-Op,1282,,210000
1420,9103 Alta Dr Unit: 1603 Las Vegas NV 89145,3,3,1,Condo/Townhome/Row Home/Co-Op,4968,,3350000
1421,12274 Bluebird Canyon Pl Las Vegas NV 89138,5,3,0,Single Family Home,3144,6534,565000
1422,10768 Windrose Point Ave Las Vegas NV 89144,3,2,0,Single Family Home,1833,6969,335000
1423,1350 Pecan Tree Ct Las Vegas NV 89142,3,2,0,Single Family Home,975,3484,99900
1424,10621 Medicine Bow St Las Vegas NV 89183,4,2,1,Single Family Home,2729,4356,199000
1425,7591 Rockhampton Ave Las Vegas NV 89113,4,3,0,Single Family Home,2271,4791,250000
1426,Las Vegas NV 89103,2,2,0,Condo/Townhome/Row Home/Co-Op,884,,85500
1427,5330 E Charleston Blvd Unit 57 Las Vegas NV 89142,2,2,1,Condo/Townhome/Row Home/Co-Op,1103,3092,79900
1428,697 Oakmont Ave Unit 3308 Las Vegas NV 89109,1,1,0,Condo/Townhome/Row Home/Co-Op,793,,73500
1429,3206 Mystic Ridge Ct Las Vegas NV 89129,2,2,0,Condo/Townhome/Row Home/Co-Op,1153,1306,78000
1430,4960 Harrison Dr Unit: 109 Las Vegas NV 89120,2,2,0,Condo/Townhome/Row Home/Co-Op,1041,,70000
1431,7625 Genzer Dr Las Vegas NV 89145,4,2,0,Single Family Home,1895,6534,149900
1432,10044 Long Barrow Ct Las Vegas NV 89148,3,3,0,Single Family Home,2515,5227,345000
1433,9551 Antelope Bend Ct Las Vegas NV 89148,5,3,1,Single Family Home,3034,6098,360000
1434,6008 Rabbit Track St Las Vegas NV 89130,5,3,0,Single Family Home,4043,8712,369900
1435,235 Dougram Av Las Vegas NV 89101,2,2,0,Condo/Townhome/Row Home/Co-Op,1798,1306,224900
1436,1035 Greymouth St Las Vegas NV 89110,3,2,1,Single Family Home,1890,8276,152000
1437,2750 S Durango Dr Unit: 1024 Las Vegas NV 89117,2,2,0,Condo/Townhome/Row Home/Co-Op,965,,72500
1438,769 Jaded Emerald Ct Las Vegas NV 89183,3,2,0,Single Family Home,1962,6098,254900
1439,3332 Biscayne Bay Dr Las Vegas NV 89117,5,3,0,Single Family Home,3661,6098,389000
1440,10637 Mount Jefferson Ave Las Vegas NV 89166,3,2,1,Single Family Home,2331,3484,234777
1441,8413 Kettledrum St Las Vegas NV 89139,3,2,0,Single Family Home,1565,3049,209800
1442,10033 Bayberry Bend St Las Vegas NV 89178,4,3,0,Single Family Home,3546,12196.8,475000
1443,4471 Dean Martin Dr Unit 3807 Las Vegas NV 89103,2,2,0,Condo/Townhome/Row Home/Co-Op,1437,,544725
1444,Las Vegas NV 89146,4,2,0,Single Family Home,1344,6534,65000
1445,5531 Wayside Ct Las Vegas NV 89142,4,2,1,Single Family Home,1680,9147,104900
1446,3701 Guinevere Ave Las Vegas NV 89110,4,2,0,Single Family Home,1296,6534,62000
1447,5263 Corinne Ct Unit: 78 Las Vegas NV 89103,3,2,1,Condo/Townhome/Row Home/Co-Op,1213,,75000
1448,Plan 3072 Las Vegas NV 89118,5,2,1,Single Family Home; Ready to build,3072,87120,312500
1449,1470 S Tenaya Way Las Vegas NV 89117,4,3,1,Single Family Home,3594,20908.8,474900
1450,9333 Dry Dock Dr Las Vegas NV 89117,3,2,1,Single Family Home,2123,5227,225000
1451,5345 Silvermist Ct Unit 202 Las Vegas NV 89122,2,1,0,Condo/Townhome/Row Home/Co-Op,806,,54000
1452,3945 Clear View Dr Las Vegas NV 89121,3,2,0,Single Family Home,1743,5662,76000
1453,10427 Hickory Bark Rd Las Vegas NV 89135,3,2,1,Single Family Home,2543,4356,339000
1454,9000 Las Vegas Blvd S Unit 1257 Las Vegas NV 89123,1,1,0,Condo/Townhome/Row Home/Co-Op,813,,69000
1455,346 Cart Crossing Way Las Vegas NV 89148,5,3,0,Single Family Home,2251,4791,315000
1456,6037 Corbin Ave Las Vegas NV 89122,3,2,0,Single Family Home,1718,5662,254900
1457,5934 Baylor Ranch Ct Las Vegas NV 89131,4,2,1,Single Family Home,2320,7405,319900
1458,1834 N Decatur Blvd Unit 202 Las Vegas NV 89108,2,2,0,Condo/Townhome/Row Home/Co-Op,945,958,62000
1459,6425 Glen River Cir Las Vegas NV 89131,5,4,1,Single Family Home,4482,18295.2,575000
1460,4270 E Cleveland Ave Las Vegas NV 89104,4,2,0,Single Family Home,1828,10018.8,135000
1461,2309 Plaza Del Prado Las Vegas NV 89102,2,2,0,Single Family Home,1805,4791,215000
1462,10433 Orkiney Dr Las Vegas NV 89144,6,6,1,Single Family Home,6349,17424,1299000
1463,5479 Birchbrook Ct Las Vegas NV 89120,3,2,1,Single Family Home,2428,4791,189900
1464,6690 Octave Ave Las Vegas NV 89139,4,2,1,Single Family Home,2742,4356,255000
1465,2813 Spalding Dr Las Vegas NV 89134,3,2,1,Single Family Home,2577,7840,457000
1466,9978 Yellow Canary Ave Las Vegas NV 89117,5,2,1,Single Family Home,2147,3920,259000
1467,6203 Bunker Commons Ct Las Vegas NV 89108,5,3,1,Single Family Home,3181,7405,262800
1468,1399 Chatsworth Ct Las Vegas NV 89142,2,1,1,Single Family Home,862,4356,79900
1469,7107 S Durango Dr Unit 205 Las Vegas NV 89113,2,2,0,Condo/Townhome/Row Home/Co-Op,1278,,135000
1470,4555 Dean Martin Dr Unit 103 Las Vegas NV 89103,2,2,0,Condo/Townhome/Row Home/Co-Op,1787,,470000
1471,8397 Willow Point Ct Las Vegas NV 89128,4,3,0,Single Family Home,2934,7405,365000
1472,2615 W Gary Ave Unit 2028 Las Vegas NV 89123,2,2,0,Condo/Townhome/Row Home/Co-Op,940,,95000
1473,6282 Glacier Av Las Vegas NV 89156,3,2,0,Mfd/Mobile Home,960,6534,45000
1474,2901 Santa Margarita St Las Vegas NV 89146,5,5,1,Single Family Home,4972,28749.6,695000
1475,2875 Brodie Silver St Henderson NV 89044,3,2,0,Single Family Home,2213,11761.2,349900
1476,3525 E Reno Ave Las Vegas NV 89120,4,2,1,Single Family Home,2181,6969,189900
1477,8893 Skyline Peak Ct Las Vegas NV 89148,5,4,0,Single Family Home,3141,3484,278000
1478,Las Vegas NV 89139,2,2,1,Single Family Home,1277,1742,148900
1479,5339 Luna Bonita St Las Vegas NV 89113,2,2,1,Single Family Home,1832,3484,209900
1480,6250 W Arby Ave Unit 203 Las Vegas NV 89118,3,2,1,Condo/Townhome/Row Home/Co-Op,1648,,162000
1481,1704 Silver Point Ave Las Vegas NV 89123,3,2,1,Single Family Home,1558,6098,199990
1482,8555 W Russell Rd Unit 2026 Las Vegas NV 89113,2,2,0,Condo/Townhome/Row Home/Co-Op,1088,,125000
1483,2553 Chateau Clermont St Henderson NV 89044,5,3,0,Single Family Home,3800,5662,389900
1484,260 Windmill Croft Dr Las Vegas NV 89148,4,3,0,Single Family Home,2477,4356,349500
1485,Las Vegas NV 89148,3,2,1,Single Family Home,1659,3484,210000
1486,7965 Terrace Rock Wy Unit: 102 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,1136,,78500
1487,11081 Mount Pendleton St Unit Lot 237 Las Vegas NV 89179,4,2,1,Single Family Home,2476,2613,280676
1488,7833 Sleeping Lily Dr Las Vegas NV 89178,4,2,1,Single Family Home,2486,6969,330000
1489,9753 Villa Lorena Ave Las Vegas NV 89147,3,2,1,Single Family Home,1516,2178,159900
1490,3930 Swenson St Apt 509 Las Vegas NV 89119,2,2,0,Condo/Townhome/Row Home/Co-Op,1178,,70000
1491,5620 Heron Ave Las Vegas NV 89107,3,2,0,Single Family Home,1218,6098,116500
1492,5661 Bishop Flowers St Las Vegas NV 89130,3,2,1,Single Family Home,1600,2613,203428
1493,10508 Hope Mills Dr Las Vegas NV 89135,5,4,0,Single Family Home,3723,7405,549990
1494,9101 Alta Dr Unit 1103 Las Vegas NV 89145,2,2,1,Condo/Townhome/Row Home/Co-Op,2638,,1350000
1495,5545 Greeber Ct Las Vegas NV 89131,5,3,1,Single Family Home,3290,25700.4,419900
1496,3600 Pierida St Unit 104 Las Vegas NV 89108,2,2,0,Condo/Townhome/Row Home/Co-Op,1056,,119000
1497,6001 Vegas Dr Las Vegas NV 89108,3,1,1,Condo/Townhome/Row Home/Co-Op,1254,871,95000
1498,3132 Liberty Cir S Las Vegas NV 89121,3,3,0,Single Family Home,2260,6969,154000
1499,6356 Screaming Eagle Ave Las Vegas NV 89139,5,3,0,Single Family Home,3558,6098,399000
1500,5751 E Hacienda Ave Unit 156 Las Vegas NV 89122,2,2,0,Condo/Townhome/Row Home/Co-Op,896,2090,65000
1501,7245 Spring Flower Ave Las Vegas NV 89117,3,2,0,Single Family Home,2397,4356,274990
1502,10719 Angelo Tenero Ave Las Vegas NV 89135,2,2,1,Single Family Home,2855,8276,625000
1503,9197 Vintage Wine Ave Las Vegas NV 89148,3,2,1,Single Family Home,1935,4791,235000
1504,5023 Vista Montana Way North Las Vegas NV 89031,4,3,0,Single Family Home,2093,6534,150000
1505,7500 Council Ave Las Vegas NV 89128,3,2,1,Single Family Home,1531,4791,179900
1506,4440 Rich Dr # 202 Las Vegas NV 89102,2,2,0,Condo/Townhome/Row Home/Co-Op,922,1001,65000
1507,7642 Kit Carson Ave Las Vegas NV 89179,3,3,1,Single Family Home,3350,3049,402562
1508,26 Skybird Ct Las Vegas NV 89135,6,7,2,Single Family Home,7581,21344.4,2699000
1509,2912 Mount Hope Dr Las Vegas NV 89156,2,2,0,Single Family Home,1135,4356,124900
1510,7885 W Flamingo Rd Unit 1064 Las Vegas NV 89147,2,2,0,Condo/Townhome/Row Home/Co-Op,934,,75000
1511,8451 W Hammer Ln Las Vegas NV 89149,4,3,0,Single Family Home,3086,20037.6,419900
1512,9594 Teton Vista Ave Las Vegas NV 89117,3,2,0,Single Family Home,1680,6098,234900
1513,Las Vegas NV 89178,5,4,0,Single Family Home,4632,10890,679999
1514,4321 W Bonanza Rd Las Vegas NV 89107,3,2,0,Single Family Home,1654,6969,149500
1515,823 Painted Vista Ave Las Vegas NV 89123,2,2,0,Single Family Home,936,3049,141000
1516,333 Maddelena Ave Las Vegas NV 89183,5,3,0,Single Family Home,2973,6098,319900
1517,3685 Willow Bend Ct Las Vegas NV 89121,3,2,1,Single Family Home,2172,12196.8,274900
1518,437 Federal St Las Vegas NV 89015,3,1,0,Single Family Home,1546,6708,85000
1519,9365 Olympia Falls Ave Las Vegas NV 89149,4,3,0,Single Family Home,2948,7405,312000
1520,2340 Cardiff Ln Unit C Las Vegas NV 89108,2,1,0,Condo/Townhome/Row Home/Co-Op,1032,3136,53000
1521,745 Oakmont Ave Unit 1002 Las Vegas NV 89109,2,2,0,Condo/Townhome/Row Home/Co-Op,1160,,134900
1522,7308 Casa Solar Ct Las Vegas NV 89128,3,2,1,Single Family Home,1928,4791,169900
1523,9103 Alta Dr Unit 1202 Las Vegas NV 89145,3,3,1,Condo/Townhome/Row Home/Co-Op,3856,,2099000
1524,5209 Villa Dante Ave Las Vegas NV 89141,5,4,1,Single Family Home,4364,11325.6,619000
1525,5430 Eugene Ave Las Vegas NV 89108,3,2,0,Single Family Home,2727,20908.8,219900
1526,10335 Tranquil Breeze St Las Vegas NV 89183,3,2,1,Single Family Home,1230,1742,134900
1527,449 Pinnacle Heights Ln Las Vegas NV 89144,5,3,1,Single Family Home,3556,8712,799000
1528,9031 Jumping Jacks Ave Las Vegas NV 89178,3,2,1,Single Family Home,1931,3484,145000
1529,Las Vegas NV 89121,2,1,1,Condo/Townhome/Row Home/Co-Op,928,435,45000
1530,1024 Padre Island St Las Vegas NV 89128,4,3,1,Single Family Home,2556,4791,240000
1531,243 Hickory Heights Ave Las Vegas NV 89148,5,3,0,Single Family Home,2886,4356,359990
1532,1921 Epte Poplars St Henderson NV 89044,3,2,1,Condo/Townhome/Row Home/Co-Op,1577,1742,229743
1533,11778 Weybrook Park Dr Las Vegas NV 89141,3,2,1,Single Family Home,2600,7840,499000
1534,6121 Grandross Ct Las Vegas NV 89130,4,2,1,Single Family Home,1657,2613,185000
1535,2253 Pueblo Amigo Ct Unit Lot 17 Las Vegas NV 89115,4,2,1,Single Family Home,1620,4356,159990
1536,Las Vegas NV 89110,5,3,1,Single Family Home,3342,23958,420000
1537,6698 Roanoke Ct Las Vegas NV 89148,4,3,0,Single Family Home,2415,4356,255000
1538,4575 Dean Martin Dr Unit 509 Las Vegas NV 89103,2,2,1,Condo/Townhome/Row Home/Co-Op,1726,,524950
1539,8708 Deering Bay Dr Las Vegas NV 89131,2,2,0,Condo/Townhome/Row Home/Co-Op,1493,5662,160000
1540,2260 Martinique Ave Henderson NV 89044,5,4,1,Single Family Home,4486,9583,750000
1541,6905 Brier Creek Ln Las Vegas NV 89131,3,2,0,Single Family Home,1681,5227,215000
1542,6589 Crown Rock Ct Las Vegas NV 89139,5,3,0,Single Family Home,3297,5662,359900
1543,2927 Poplar Ave Las Vegas NV 89101,3,2,1,Condo/Townhome/Row Home/Co-Op,1304,3920,78000
1544,3151 Soaring Gulls Dr Unit 1124 Las Vegas NV 89128,3,2,0,Condo/Townhome/Row Home/Co-Op,1109,,80000
1545,6247 Guadalupe Ave Las Vegas NV 89108,4,2,0,Single Family Home,1451,6534,130000
1546,1740 Plan Las Vegas NV 89166,3,2,1,Single Family Home; Ready to build,1740,87120,229990
1547,5900 Pebble Beach Blvd Las Vegas NV 89108,5,3,0,Single Family Home,1775,6534,148500
1548,7648 Hope Valley St Las Vegas NV 89139,4,2,1,Single Family Home,2039,3484,135000
1549,917 Boulder Mesa Dr Unit 201 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,912,,70000
1550,5026 Roswell St Las Vegas NV 89120,3,2,0,Single Family Home,1245,7405,169990
1551,Las Vegas NV 89109,1,1,0,Condo/Townhome/Row Home/Co-Op,897,,95000
1552,Plan 2927 Las Vegas NV 89139,5,2,1,Single Family Home; Ready to build,2927,87120,317500
1553,4585 Balfour Dr Las Vegas NV 89121,4,2,0,Single Family Home,1772,8276,189900
1554,9769 Valmeyer Ave Las Vegas NV 89148,3,3,0,Single Family Home,2415,3484,240000
1555,6349 Azurelyn Ave Las Vegas NV 89122,3,2,1,Single Family Home,1854,3484,165000
1556,18 Promontory Ridge Dr Las Vegas NV 89135,5,6,1,Single Family Home,7552,26136,3999900
1557,9348 Outer Banks Ave Las Vegas NV 89149,4,3,0,Single Family Home,3747,7840,329000
1558,6204 Govett Crescent Ct Las Vegas NV 89130,4,2,1,Single Family Home,1916,2613,204900
1559,1709 Cherry Ln Las Vegas NV 89104,4,2,0,Single Family Home,1725,6969,70000
1560,2615 W Gary Av Unit: 2017 Las Vegas NV 89123,2,2,0,Condo/Townhome/Row Home/Co-Op,940,,110000
1561,7308 Queen Palm Dr Las Vegas NV 89128,4,2,1,Single Family Home,1858,4791,188000
1562,11929 Luna Del Mar Ln Las Vegas NV 89138,3,2,1,Single Family Home,1792,7405,375000
1563,3339 Halter Dr Las Vegas NV 89122,2,2,0,Single Family Home,1157,4356,181000
1564,4800 Nara Vista Wy Unit: 203 Las Vegas NV 89103,2,2,0,Condo/Townhome/Row Home/Co-Op,884,2265,78000
1565,5823 Affirmed Ct Las Vegas NV 89113,4,2,1,Single Family Home,1967,4791,190000
1566,2624 Ohio Ct Las Vegas NV 89128,3,2,1,Single Family Home,2492,8276,328900
1567,8931 Haviland Rd Las Vegas NV 89123,3,2,1,Single Family Home,1870,5227,220000
1568,2011 Bogart Ct Las Vegas NV 89117,3,3,1,Single Family Home,4112,20473.2,699000
1569,288 Fogg St Las Vegas NV 89110,4,4,1,Single Family Home,3707,22215.6,525000
1570,3933 Lazy Pine St Unit 202 Las Vegas NV 89108,2,2,0,Condo/Townhome/Row Home/Co-Op,1342,,90000
1571,5685 N Riley St Las Vegas NV 89149,5,4,0,Single Family Home,2905,22651.2,299999
1572,4155 Olive St Las Vegas NV 89104,3,2,0,Single Family Home,1750,6969,50000
1573,11234 Victoria Medici St Las Vegas NV 89141,3,2,1,Single Family Home,2046,3049,149900
1574,360 E Desert Inn Rd Unit 1903 Las Vegas NV 89109,3,3,1,Condo/Townhome/Row Home/Co-Op,4614,,3749000
1575,3811 Daisy St Apt 35 Las Vegas NV 89119,2,1,0,Condo/Townhome/Row Home/Co-Op,962,958,46999
1576,5200 Indian River Dr Unit: 302 Las Vegas NV 89103,2,2,0,Condo/Townhome/Row Home/Co-Op,978,958,79900
1577,4921 Tindari St Las Vegas NV 89130,5,3,0,Single Family Home,2488,5227,205000
1578,3151 Soaring Gulls Dr Unit 2184 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,1074,,79900
1579,2121 Santa Ynez Dr Las Vegas NV 89104,3,2,0,Single Family Home,1534,6534,135000
1580,1905 Griffith Ave Las Vegas NV 89104,3,1,0,Single Family Home,999,6098,120000
1581,778 Oakmont Av Unit: 312 Las Vegas NV 89109,1,1,0,Condo/Townhome/Row Home/Co-Op,708,,58000
1582,605 E St Louis Ave Las Vegas NV 89104,3,2,0,Single Family Home,2371,9147,234900
1583,1606 Marathon Dr Las Vegas NV 89108,3,2,1,Condo/Townhome/Row Home/Co-Op,1240,871,75000
1584,1757 E Rochelle Ave Apt 3 Las Vegas NV 89119,3,1,1,Condo/Townhome/Row Home/Co-Op,1220,,55000
1585,9008 Loggers Mill Ave Las Vegas NV 89143,4,2,1,Single Family Home,2756,4791,227000
1586,9233 Magic Flower Ave Las Vegas NV 89134,3,2,1,Single Family Home,1635,4356,225000
1587,5525 Eagle Claw Ave Las Vegas NV 89130,4,2,0,Single Family Home,1585,5662,179990
1588,7001 Mandy Scarlet Ct Las Vegas NV 89148,5,3,0,Single Family Home,2032,3484,224900
1589,605 Iron Stirrup Ave Las Vegas NV 89081,4,3,1,Single Family Home,2344,5662,115000
1590,3427 Wedo Way Las Vegas NV 89031,3,3,0,Single Family Home,2977,15246,550000
1591,8637 Castle Hill Ave Las Vegas NV 89129,5,4,0,Single Family Home,4640,7840,375000
1592,9632 Camino Capistrano Ln Las Vegas NV 89147,5,4,0,Single Family Home,4436,7840,549900
1593,1381 E University Ave Apt 204 Las Vegas NV 89119,1,1,0,Condo/Townhome/Row Home/Co-Op,500,479,49995
1594,10428 Scotch Elm Ave Las Vegas NV 89166,3,2,1,Single Family Home,1789,2178,159500
1595,7909 Esterbrook Wy Unit: 102 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,1136,6969,81900
1596,6629 Joe Michael Way Las Vegas NV 89108,3,2,0,Single Family Home,1470,4356,100000
1597,8137 Stassen St Las Vegas NV 89123,4,3,0,Single Family Home,1912,6534,244900
1598,1620 Davilla St Unit 101 Las Vegas NV 89146,2,2,0,Condo/Townhome/Row Home/Co-Op,1085,2657,78900
1599,200 W Sahara Ave Unit 3512 Las Vegas NV 89102,1,1,1,Condo/Townhome/Row Home/Co-Op,974,,242900
1600,5085 Hallet Dr Las Vegas NV 89122,3,2,0,Single Family Home,1269,5662,104900
1601,602 Fynn Valley Dr Las Vegas NV 89148,5,3,1,Single Family Home,3699,6534,490000
1602,1608 Silver Oaks St Las Vegas NV 89117,5,4,1,Single Family Home,4991,18730.8,799000
1603,7644 Marine Current St Las Vegas NV 89139,4,2,1,Single Family Home,1972,3920,277500
1604,2636 Golfside Dr Las Vegas NV 89134,2,2,0,Single Family Home,1653,6969,339000
1605,557 Yacht Harbor Dr # 711 Las Vegas NV 89145,2,2,0,Condo/Townhome/Row Home/Co-Op,1058,3659,130000
1606,Mesa Canyon Plan Two Las Vegas NV 89130,5,4,0,Single Family Home; Ready to build,2686,87120,310000
1607,4400 Sandy River Dr Unit 9 Las Vegas NV 89103,1,1,0,Condo/Townhome/Row Home/Co-Op,700,,68900
1608,4346 Sabadell St Las Vegas NV 89121,5,2,1,Single Family Home,2781,7840,234900
1609,4588 Grindle Point St Las Vegas NV 89147,5,2,1,Single Family Home,2992,6098,419999
1610,Las Vegas NV 89119,3,2,0,Single Family Home,1766,6969,180000
1611,5706 Spruce Harbor Ct Las Vegas NV 89122,3,3,0,Single Family Home,2722,13503.6,359900
1612,1150 N Buffalo Dr Apt 2057 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,928,914,92500
1613,4778 Mereworth Ct Las Vegas NV 89130,3,3,1,Single Family Home,1497,1742,150000
